HITID,tokens,type,source,Worker1,Answer1,Worker2,Answer2,Agreement,Answer,Date
3DIIW4IV8OU4RGOJQ1FICQ0IRDGI4J,47,afferent,CRAFT,A16S0KKQ2MIZHT,Begins with a negative,ARX0S1CIDJLOX,Does not,No,no_agreement,2016-12-16 23:15:10 UTC
3L4YG5VW9MR0J1RQRYF0OXEBCL1DDP,126,indicates,CRAFT,A16S0KKQ2MIZHT,Begins with a negative,A149ROBL26JWPJ,Does not,No,no_agreement,2016-12-16 23:10:30 UTC
3EAWOID6MSWSEYQI67RZFC0ZI3W0VI,3,anticonvulsant,MIMIC2MD,A16S0KKQ2MIZHT,Begins with a negative,A1T79J0XQXDDGC,Begins with a negative,Yes,Begins with a negative,2016-12-16 23:09:49 UTC
3WKGUBL7SYL6HHWPB4CV46SA8HAL40,1198,as,MIMIC2MD,A3SWVCOJPJM7KQ,Does not,ALLP45O3BDWYM,Does not,Yes,Does not,2016-12-16 23:11:09 UTC
3MA5N0ATTBA76DXR0A6DKYYM3A4KWI,3,amber,MIMIC2MD,A291KO368YRYCR,Does not,AEVU71Z2FDTUX,{},No,no_agreement,2016-12-16 23:14:23 UTC
3CO05SML7U40LR91XNMPEFBWXXJ0RP,7,decidual,CRAFT,A18TCR555RWUZV,Does not,AEVU71Z2FDTUX,{},No,no_agreement,2016-12-16 23:10:08 UTC
3RSBJ6YZEBPOLIWB8DO6NRTVSCOFOZ,861,also,CRAFT,A2YAYHZYI7M3HD,Does not,AEVU71Z2FDTUX,{},No,no_agreement,2016-12-16 23:11:08 UTC
3LOJFQ4BOWE8X7X0JF1NSA91WUYDK2,48,indo,MIMIC2MD,A18TCR555RWUZV,Does not,A1T79J0XQXDDGC,Does not,Yes,Does not,2016-12-16 23:10:32 UTC
35A1YQPVFDFMNZSJ46YSHI6WR9BI5O,16,inset,CRAFT,A1T79J0XQXDDGC,Does not,ALLP45O3BDWYM,Does not,Yes,Does not,2016-12-16 23:11:44 UTC
3YOAVL4CAZGQM6DTQ534CL38NQI4Z2,2,abp,MIMIC2MD,A18TCR555RWUZV,Does not,AEVU71Z2FDTUX,{},No,no_agreement,2016-12-16 23:10:42 UTC
3G9UA71JVUTX5EQ8AHYPR3ZSVUV7J4,42,afebrile,MIMIC2MD,A1T79J0XQXDDGC,Does not,ALLP45O3BDWYM,Does not,Yes,Does not,2016-12-16 23:09:40 UTC
3IKDQS3DQDZ7MK1YJGL0VOC6JQXICW,2,incuding,MIMIC2MD,ALLP45O3BDWYM,Does not,AEVU71Z2FDTUX,{},No,no_agreement,2016-12-16 23:09:33 UTC
3538U0YQ1ETZZT3PPF4EZOVKXLS3FS,4,air,CRAFT,A16S0KKQ2MIZHT,Does not,A1T79J0XQXDDGC,Does not,Yes,Does not,2016-12-16 23:10:24 UTC
36JW4WBR05JET1AO40TG3IWUGQAFHB,2,atrxnullygata1cre,CRAFT,A149ROBL26JWPJ,Does not,A16S0KKQ2MIZHT,Does not,Yes,Does not,2016-12-16 23:11:46 UTC
31J7RYECZKPPPIZ6OMTT68L7WX0L1N,6,atropine,MIMIC2MD,A1T79J0XQXDDGC,Does not,AEVU71Z2FDTUX,{},No,no_agreement,2016-12-16 23:09:39 UTC
3N3WJQXELRPWE3H27QT7BRVCO3EL24,67,abstract,CRAFT,A16S0KKQ2MIZHT,Begins with a negative,ALLP45O3BDWYM,Does not,No,no_agreement,2016-12-16 23:12:09 UTC
3PMR2DOWON0SFST4JHWONHWDMRA54W,3,ahve,MIMIC2MD,ALLP45O3BDWYM,Does not,ARX0S1CIDJLOX,Does not,Yes,Does not,2016-12-16 23:11:54 UTC
3OEWW2KGQIARNYIFH7TGZRQAGZ8DOM,185,amino,CRAFT,A1T79J0XQXDDGC,Does not,AEVU71Z2FDTUX,{},No,no_agreement,2016-12-16 23:09:51 UTC
32XN26MTXYIPITEOS3PTS32XR5UL0K,4,inborn,MIMIC2MD,A18TCR555RWUZV,Begins with a negative,A16S0KKQ2MIZHT,Does not,No,no_agreement,2016-12-16 23:10:39 UTC
33QQ60S6ARHS1J1I1HHUJQYG4WN0UT,5,attenuated,CRAFT,ALLP45O3BDWYM,Does not,AEVU71Z2FDTUX,{},No,no_agreement,2016-12-16 23:09:52 UTC
34D9ZRXCYQT8NJ7W4EJNTVS5SLEASE,2,inferior,MIMIC2MD,A1T79J0XQXDDGC,Begins with a negative,ARX0S1CIDJLOX,Begins with a negative,Yes,Begins with a negative,2016-12-16 23:09:57 UTC
39O0SQZVJM6E329LIM7YTULJ5BP7RW,2,unedited,CRAFT,A149ROBL26JWPJ,Begins with a negative,ARX0S1CIDJLOX,Begins with a negative,Yes,Begins with a negative,2016-12-16 23:13:17 UTC
34HEO7RUG5TWM47JPPJI3LN96JVARQ,4,inactive,CRAFT,A16S0KKQ2MIZHT,Begins with a negative,AEVU71Z2FDTUX,Begins with a negative,Yes,Begins with a negative,2016-12-16 23:10:54 UTC
3VO4XFFP14LER1UL57IYO4BE9PN7QV,42,insulin,MIMIC2MD,A18TCR555RWUZV,Does not,ALLP45O3BDWYM,Does not,Yes,Does not,2016-12-16 23:10:17 UTC
3OCZWXS7ZN6OD00PP9V59YYO8D5L55,124,aqp2,CRAFT,A16S0KKQ2MIZHT,Does not,AEVU71Z2FDTUX,{},No,no_agreement,2016-12-16 23:09:59 UTC
3QHITW7OYN8WA3SJCAUIYVD4AXTAQP,7,assoc,MIMIC2MD,A149ROBL26JWPJ,Does not,ALLP45O3BDWYM,Does not,Yes,Does not,2016-12-16 23:11:59 UTC
3SV8KD29L3RB082WBXQKJ2S4KC8KZ8,5,aberrantly,CRAFT,A18TCR555RWUZV,Begins with a negative,ARX0S1CIDJLOX,Does not,No,no_agreement,2016-12-16 23:13:14 UTC
36MUZ9VAE515B75QNTQKUFWWCX2DEI,2,noguchi,CRAFT,AEVU71Z2FDTUX,Begins with a negative,A1T79J0XQXDDGC,Does not,No,no_agreement,2016-12-16 23:10:45 UTC
30QQTY5GMJJ6JU12MG23Y583CAT7U0,49,approximated,MIMIC2MD,A18TCR555RWUZV,Does not,A291KO368YRYCR,Does not,Yes,Does not,2016-12-16 23:11:47 UTC
3XT3KXP24YXI63SX9P8X9OKWN4MI64,2,accidentally,MIMIC2MD,A1T79J0XQXDDGC,Does not,A3MCS8WQWZ34RN,Does not,Yes,Does not,2016-12-16 23:10:45 UTC
3G3AJKPCXKRQHG3OUJ1LYEU6HWE4YB,22,ativan,MIMIC2MD,A16S0KKQ2MIZHT,Does not,A3MCS8WQWZ34RN,Does not,Yes,Does not,2016-12-16 23:11:11 UTC
329E6HTMSV1AFFV3QQVBF1NP5H93KU,278,anemia,MIMIC2MD,ALLP45O3BDWYM,Begins with a negative,ARX0S1CIDJLOX,Begins with a negative,Yes,Begins with a negative,2016-12-16 23:12:18 UTC
3X4Q1O9UBGLB6PH5QUQUZZGEUO57ON,4,nonidet,CRAFT,A16S0KKQ2MIZHT,Begins with a negative,A1T79J0XQXDDGC,Does not,No,no_agreement,2016-12-16 23:10:06 UTC
308KJXFUJQ592JKBTEOD30ORU4SAT3,59,asx,MIMIC2MD,A16S0KKQ2MIZHT,Does not,ARX0S1CIDJLOX,Does not,Yes,Does not,2016-12-16 23:13:28 UTC
3PN6H8C9R3P2LUOE7OOYYW65RI4DAN,2,antiphosphoh2ax,CRAFT,A291KO368YRYCR,Begins with a negative,A3MCS8WQWZ34RN,Begins with a negative,Yes,Begins with a negative,2016-12-16 23:13:27 UTC
3IH9TRB0FAYNZHR03JWGESTFFT6I16,6,noticeable,CRAFT,A3MCS8WQWZ34RN,Does not,ARX0S1CIDJLOX,Does not,Yes,Does not,2016-12-16 23:12:28 UTC
3E9VAUV7BVD5J5J53KBCBHG696AAYS,11,abrasion,MIMIC2MD,A1T79J0XQXDDGC,Does not,AEVU71Z2FDTUX,{},No,no_agreement,2016-12-16 23:10:43 UTC
3OQQD2WO8H5J9K5FQNAZ2L8CDDKI3Y,5,apact,CRAFT,ALLP45O3BDWYM,Does not,ARX0S1CIDJLOX,Does not,Yes,Does not,2016-12-16 23:11:41 UTC
35F6NGNVM7IRJHMDMBCTT9M1TWM7T9,15,areas,MIMIC2MD,A18TCR555RWUZV,Does not,AEVU71Z2FDTUX,{},No,no_agreement,2016-12-16 23:10:19 UTC
3VGET1QSZZYJBYQ7HGH4GTT0XQ47WZ,29,atrxwt,CRAFT,A18TCR555RWUZV,Begins with a negative,A291KO368YRYCR,Does not,No,no_agreement,2016-12-16 23:14:30 UTC
3YGE63DIN7W5TNQNWHWV1EJDPCY0WS,15,distributed,CRAFT,A18TCR555RWUZV,Does not,AEVU71Z2FDTUX,{},No,no_agreement,2016-12-16 23:10:51 UTC
3VCK0Q0PO4DF6TH94G585V6MW0U0N1,106,available,MIMIC2MD,A16S0KKQ2MIZHT,Does not,A1T79J0XQXDDGC,Does not,Yes,Does not,2016-12-16 23:11:04 UTC
362E9TQF2GPK3WH3L2HJLFXLHIPIG6,58,develops,MIMIC2MD,A16S0KKQ2MIZHT,Does not,AEVU71Z2FDTUX,{},No,no_agreement,2016-12-16 23:10:18 UTC
3SSN80MU8BNMVD2HAF2ZMHCTCCAKXB,2,associates,MIMIC2MD,A1T79J0XQXDDGC,Does not,ARX0S1CIDJLOX,Does not,Yes,Does not,2016-12-16 23:10:01 UTC
375VMB7D4IIHRC7CJCGBFUUO4Q9DIR,2,impapproaching,MIMIC2MD,A16S0KKQ2MIZHT,Begins with a negative,AEVU71Z2FDTUX,{},No,no_agreement,2016-12-16 23:11:07 UTC
3K1H3NEY7KY3VL1HTOG8UIH8PDHDGZ,3,antigrb2,CRAFT,A16S0KKQ2MIZHT,Begins with a negative,A1T79J0XQXDDGC,Begins with a negative,Yes,Begins with a negative,2016-12-16 23:10:17 UTC
30UZJB2POGB7XWA0J3R5DC478RE53B,8,devt,MIMIC2MD,ARX0S1CIDJLOX,Does not,AEVU71Z2FDTUX,{},No,no_agreement,2016-12-16 23:11:57 UTC
3Q9SPIIRWIL1U0O5OJTOQKVQYYAAWT,48,anova,CRAFT,A18TCR555RWUZV,Begins with a negative,ARX0S1CIDJLOX,Does not,No,no_agreement,2016-12-16 23:11:28 UTC
341YLJU21HYUO29WMNWUJB3K7ZKI2N,7,aldomet,MIMIC2MD,A18TCR555RWUZV,Begins with a negative,A291KO368YRYCR,Does not,No,no_agreement,2016-12-16 23:13:50 UTC
3WJGKMRWVH8QE9LCR2KP4RWTRLPDCP,2,desynapsis,CRAFT,A18TCR555RWUZV,Begins with a negative,A291KO368YRYCR,Begins with a negative,Yes,Begins with a negative,2016-12-16 23:12:01 UTC
3IHWR4LC7CC5AHBL245VT2GNTZCI8Q,15,involves,CRAFT,A18TCR555RWUZV,Does not,A1T79J0XQXDDGC,Does not,Yes,Does not,2016-12-16 23:10:20 UTC
3JGHED38ECQN03L7WHZS1QEG8Y47YY,23,impplan,MIMIC2MD,A18TCR555RWUZV,Does not,ALLP45O3BDWYM,Does not,Yes,Does not,2016-12-16 23:10:03 UTC
37SOB9Z0SRWLZLDLBQ7CU104UHEL3F,2,ax,MIMIC2MD,A16S0KKQ2MIZHT,Does not,A1T79J0XQXDDGC,Does not,Yes,Does not,2016-12-16 23:12:02 UTC
324N5FAHSWAUROXMA01HYWF8W12KV8,201,associated,CRAFT,A18TCR555RWUZV,Does not,ALLP45O3BDWYM,Does not,Yes,Does not,2016-12-16 23:10:58 UTC
3AXFSPQOYPXAK75ES0W1FVC9TIEFJG,2,incarceration,MIMIC2MD,A16S0KKQ2MIZHT,Begins with a negative,A1T79J0XQXDDGC,Does not,No,no_agreement,2016-12-16 23:12:07 UTC
3BAWBGQGYKY6W9Q2R6C8URAMQH27VP,5,import,CRAFT,ARX0S1CIDJLOX,Begins with a negative,A18TCR555RWUZV,Does not,No,no_agreement,2016-12-16 23:12:34 UTC
3KQC8JMJGBRJDPUVK5SE297XD053HQ,3,atm,CRAFT,A1T79J0XQXDDGC,Does not,ALLP45O3BDWYM,Does not,Yes,Does not,2016-12-16 23:13:16 UTC
3YO4AH2FPCJ09QU1K8XP9P1R1BH0QO,15,approx,MIMIC2MD,ALLP45O3BDWYM,Does not,ARX0S1CIDJLOX,Does not,Yes,Does not,2016-12-16 23:13:20 UTC
31KPKEKW49CD5KSC1Q0ZE06SFBGB0N,66,increasing,MIMIC2MD,ARX0S1CIDJLOX,Begins with a negative,AEVU71Z2FDTUX,{},No,no_agreement,2016-12-16 23:11:44 UTC
3AJA9FLWSBXEPWL8AIB13UX9G3PIF7,442,intermittent,MIMIC2MD,A16S0KKQ2MIZHT,Does not,A18TCR555RWUZV,Does not,Yes,Does not,2016-12-16 23:10:44 UTC
3VJ4PFXFJ26O2WZ0TJEN8WATDIZAUU,4,intriguingly,CRAFT,A16S0KKQ2MIZHT,Begins with a negative,AEVU71Z2FDTUX,{},No,no_agreement,2016-12-16 23:10:40 UTC
3BVS8WK9QZUOCF9S5GP5K46O15XIBP,65,adjust,MIMIC2MD,A16S0KKQ2MIZHT,Does not,A1T79J0XQXDDGC,Does not,Yes,Does not,2016-12-16 23:10:50 UTC
363A7XIFV3LOFBO0Y9OS4ICCRP8AVJ,2,appetite,CRAFT,A16S0KKQ2MIZHT,Does not,A1T79J0XQXDDGC,Does not,Yes,Does not,2016-12-16 23:11:25 UTC
3PUV2Q8SV33744T6D2OUT7QB90PDBI,6,dessitin,MIMIC2MD,A291KO368YRYCR,Does not,AEVU71Z2FDTUX,{},No,no_agreement,2016-12-16 23:13:39 UTC
3O4VWC1GEV5F4VPL85VZEMNCQS93JV,19,insufficiency,MIMIC2MD,A16S0KKQ2MIZHT,Begins with a negative,A1T79J0XQXDDGC,Begins with a negative,Yes,Begins with a negative,2016-12-16 23:11:53 UTC
3M0556243RJ63XWZ7YOT82TQ22JFNK,3,allelespecific,CRAFT,A1T79J0XQXDDGC,Does not,ALLP45O3BDWYM,Does not,Yes,Does not,2016-12-16 23:13:30 UTC
3TL87MO8CLOGFXTEVL8EVAP1X7JFLI,2,delc19,CRAFT,A18TCR555RWUZV,Does not,A291KO368YRYCR,Does not,Yes,Does not,2016-12-16 23:11:18 UTC
335HHSX8CC4HVHWSDUYQFIT94DUDHY,2,del10,CRAFT,A16S0KKQ2MIZHT,Begins with a negative,A3SWVCOJPJM7KQ,Does not,No,no_agreement,2016-12-16 23:10:59 UTC
3GV1I4SEO8OKW403US5A14CO48GL6L,7,amniotic,MIMIC2MD,A16S0KKQ2MIZHT,Does not,A291KO368YRYCR,Does not,Yes,Does not,2016-12-16 23:14:10 UTC
3RKHNXPHGVVUE98M5ARC2ADPIUTKUJ,9,denaturation,CRAFT,AEVU71Z2FDTUX,Begins with a negative,ALLP45O3BDWYM,Begins with a negative,Yes,Begins with a negative,2016-12-16 23:11:56 UTC
3WGZLY9VCGLO26VZAQ4K250A1U4D8J,210,immaturity,MIMIC2MD,A18TCR555RWUZV,Begins with a negative,ARX0S1CIDJLOX,Begins with a negative,Yes,Begins with a negative,2016-12-16 23:13:41 UTC
31MCUE39BJL5DTZK0ZAWH9VWY0S3GR,5,antisnail,CRAFT,AEVU71Z2FDTUX,Begins with a negative,ARX0S1CIDJLOX,Begins with a negative,Yes,Begins with a negative,2016-12-16 23:15:45 UTC
3WUVMVA7OA25OVTAZ6DVPOP8F0EAZJ,8,appeared,MIMIC2MD,A16S0KKQ2MIZHT,Does not,A18TCR555RWUZV,Does not,Yes,Does not,2016-12-16 23:10:54 UTC
39KV3A5D176Q4H9YXB73J4QFRD87SK,5,antitrypsin,MIMIC2MD,A18TCR555RWUZV,Begins with a negative,A3RR85PK3AV9TU,Begins with a negative,Yes,Begins with a negative,2016-12-16 23:12:49 UTC
37J05LC5AWIDMNRI1U1BRV9OH5YDJ3,2,unconsoleable,MIMIC2MD,A16S0KKQ2MIZHT,Begins with a negative,A2YAYHZYI7M3HD,Begins with a negative,Yes,Begins with a negative,2016-12-16 23:11:17 UTC
3AJA9FLWSBXEPWL8AIB13UX9G3PFI4,2,asymmetrical,CRAFT,A18TCR555RWUZV,Begins with a negative,ALLP45O3BDWYM,Begins with a negative,Yes,Begins with a negative,2016-12-16 23:11:52 UTC
3O2Y2UIUCPT5VRBWALWDGACM87EFKF,2,antipv,CRAFT,A18TCR555RWUZV,Begins with a negative,AEVU71Z2FDTUX,Begins with a negative,Yes,Begins with a negative,2016-12-16 23:10:58 UTC
3CVDZS288GZ0LFBZVX9TVN4QXC9FMK,5,administered,MIMIC2MD,A2YAYHZYI7M3HD,Does not,ALLP45O3BDWYM,Does not,Yes,Does not,2016-12-16 23:13:26 UTC
375VMB7D4IIHRC7CJCGBFUUO4Q9IDW,17,disorder,MIMIC2MD,AEVU71Z2FDTUX,Begins with a negative,ARX0S1CIDJLOX,Begins with a negative,Yes,Begins with a negative,2016-12-16 23:12:21 UTC
3CKVGCS3PF4CM69ECCMU4PGSJZ20SD,16,influences,CRAFT,A16S0KKQ2MIZHT,Does not,A18TCR555RWUZV,Does not,Yes,Does not,2016-12-16 23:11:40 UTC
3OQQD2WO8H5J9K5FQNAZ2L8CDDK3IJ,7,antibody,MIMIC2MD,AEVU71Z2FDTUX,Begins with a negative,ARX0S1CIDJLOX,Begins with a negative,Yes,Begins with a negative,2016-12-16 23:15:48 UTC
304QEQWKZOJXOEHL5V5LKK6RMAZ0OG,91,impaired,CRAFT,ARX0S1CIDJLOX,Begins with a negative,A1T79J0XQXDDGC,Does not,No,no_agreement,2016-12-16 23:13:37 UTC
3NFWQRSHVDD0T5FDKUBYIIKT1QXFGC,25,apc580,CRAFT,A18TCR555RWUZV,Does not,ALLP45O3BDWYM,Does not,Yes,Does not,2016-12-16 23:11:48 UTC
3SCKNODZ0WFTO4HTPFQHKAG94E07N8,2,undefined,CRAFT,A3SWVCOJPJM7KQ,Begins with a negative,ARX0S1CIDJLOX,Begins with a negative,Yes,Begins with a negative,2016-12-16 23:11:51 UTC
3I7SHAD35LVN6MWTDEBH7VR9ZOQ7M8,3,undecalcified,CRAFT,A16S0KKQ2MIZHT,Begins with a negative,ALLP45O3BDWYM,Begins with a negative,Yes,Begins with a negative,2016-12-16 23:12:04 UTC
31YWE12TEZBY0YVXRLDQIC776SA7XS,2,autoimmune,MIMIC2MD,ARX0S1CIDJLOX,Begins with a negative,A16S0KKQ2MIZHT,Does not,No,no_agreement,2016-12-16 23:15:25 UTC
34YWR3PJ279KINVD6MSH3XXKYE40XL,415,noted,MIMIC2MD,A291KO368YRYCR,Does not,ARX0S1CIDJLOX,Does not,Yes,Does not,2016-12-16 23:12:10 UTC
3PCPFX4U4ZPR6U9RNQGACWOV7D6FQ7,48,deh,CRAFT,A291KO368YRYCR,Does not,ALLP45O3BDWYM,Does not,Yes,Does not,2016-12-16 23:13:17 UTC
3UUSLRKAUK2K2SQG0LCEO54FQAYD7W,17,arrest,MIMIC2MD,ALLP45O3BDWYM,Does not,ARX0S1CIDJLOX,Does not,Yes,Does not,2016-12-16 23:13:25 UTC
