HITID,word,polarity,Worker1,Answer1,Worker2,Answer2,Agreement,Answer,Date
374UMBUHN4OXVYH9DSK49VEFN0YCT7,irrelevant,n,A2MCG5W6LHSRG9,Contains negative element,A2WGW5Y3ZFBDEC,Contains negative element,Yes,Contains negative element,2016-05-11 23:11:10 UTC
3MQY1YVHS2JK1UVQGD4DXOZ752L2BY,deactivate,n,A2QLSHXNCHBRN4,Contains negative element,ARX0S1CIDJLOX,Contains negative element,Yes,Contains negative element,2016-05-11 23:06:28 UTC
3ZTE0JGGCDRHI6C1HBY5FL8SOSGOCW,decision,p,A13VIJ7G997ZCY,Does not contain one,A2QLSHXNCHBRN4,Does not contain one,Yes,Does not contain one,2016-05-11 23:06:08 UTC
3G5RUKN2EB2X2N5M4CO1Y67FSX9N90,fruit,f,A13VIJ7G997ZCY,Does not contain one,A2QLSHXNCHBRN4,Does not contain one,Yes,Does not contain one,2016-05-11 23:06:16 UTC
3NCN4N1H1FGGQGKJ2W2XPC25GXCNBA,able,p,A177EXELDLWTWV,Does not contain one,A2QLSHXNCHBRN4,Does not contain one,Yes,Does not contain one,2016-05-11 23:06:33 UTC
3421H3BM99G1JXE1PEW95ZQYJD3J9R,Anticipation,p,A2QLSHXNCHBRN4,Does not contain one,ADLYO655RWJUI,Does not contain one,Yes,Does not contain one,2016-05-11 23:06:00 UTC
3X878VYTIDHH0C4CRR74C570VGZF79,unlikely,n,A13VIJ7G997ZCY,Contains negative element,A2MCG5W6LHSRG9,Contains negative element,Yes,Contains negative element,2016-05-11 23:06:07 UTC
3MJ9GGZYO25FIKQYAZ4H2DF1NK0A2B,Distal,p,A1MHGD46DB5Z7H,Contains negative element,A2MCG5W6LHSRG9,Does not contain one,No,no_agreement,2016-05-11 23:06:46 UTC
37M4O367VIH8JIIAPLWK9BDD1BFM57,Decrease,p,A2MCG5W6LHSRG9,Contains negative element,A2QLSHXNCHBRN4,Contains negative element,Yes,Contains negative element,2016-05-11 23:06:04 UTC
3B9J25CZ24CWGY4UOSFEZQITLHKCSI,non-oral,n,A177EXELDLWTWV,Contains negative element,A2MCG5W6LHSRG9,Contains negative element,Yes,Contains negative element,2016-05-11 23:06:37 UTC
3FULMHZ7OTWQNZEABGDA4J7Z1FL4ML,inactivated,n,A10GZ0SWBZIRBK,Contains negative element,A2MCG5W6LHSRG9,Contains negative element,Yes,Contains negative element,2016-05-11 23:06:48 UTC
3MJ9GGZYO25FIKQYAZ4H2DF1NK02A3,anticoagulant,n,A16TESTJICU76L,Contains negative element,A2QLSHXNCHBRN4,Contains negative element,Yes,Contains negative element,2016-05-11 23:05:47 UTC
3I01FDIL6L7DGRTAU9VJSEN78NX2D5,Missing,p,A10GZ0SWBZIRBK,Contains negative element,A177EXELDLWTWV,Does not contain one,No,no_agreement,2016-05-11 23:15:50 UTC
3SZYX62S5FZPYFBNLFUVQTGN6ML75I,yellow,f,A1NM7ZPZ3NH412,Does not contain one,A2MCG5W6LHSRG9,Does not contain one,Yes,Does not contain one,2016-05-11 23:06:22 UTC
3H6W48L9F3O8H4U7D2BLGFKLQDVPWO,intractable,n,A13VIJ7G997ZCY,Contains negative element,A2QLSHXNCHBRN4,Contains negative element,Yes,Contains negative element,2016-05-11 23:06:19 UTC
3MZ3TAMYTKMBSMQH1DBVKJBSCKKRIA,Irradiate,p,A177EXELDLWTWV,Contains negative element,A2MCG5W6LHSRG9,Contains negative element,Yes,Contains negative element,2016-05-11 23:05:41 UTC
3FJ2RVH25Y51D1GTITQH6I4HH2I29O,remarkable,p,A2QLSHXNCHBRN4,Does not contain one,A3ITZNJQUTIZ4C,Does not contain one,Yes,Does not contain one,2016-05-11 23:05:31 UTC
3IZPORCT1E8BWRFXVVTAK7ADC75RHH,Discussed,p,A13VIJ7G997ZCY,Does not contain one,A177EXELDLWTWV,Does not contain one,Yes,Does not contain one,2016-05-11 23:05:29 UTC
3PZDSVZ3J4GW5HZANHSAHYWZ65V4NL,incentive,p,A2MCG5W6LHSRG9,Does not contain one,A2QLSHXNCHBRN4,Does not contain one,Yes,Does not contain one,2016-05-11 23:05:51 UTC
3WKGUBL7SYL6HHWPB4CV46SA1AV4LJ,illegible,n,A177EXELDLWTWV,Contains negative element,A2QLSHXNCHBRN4,Contains negative element,Yes,Contains negative element,2016-05-11 23:15:28 UTC
3R16PJFTS2QVXBE7Q40UP6FVCAQ4KG,Unopacified,n,A2MCG5W6LHSRG9,Contains negative element,A3KCUB6P3IE8NL,I can't tell,No,no_agreement,2016-05-11 23:06:14 UTC
30ZKOOGW2V58TZ82RV43XU5WVEMA1U,Understand,p,A177EXELDLWTWV,Does not contain one,A2QLSHXNCHBRN4,Does not contain one,Yes,Does not contain one,2016-05-11 23:15:38 UTC
32LAQ1JNT8OTHSY9ZJ54310LU04TUX,Unchanged,n,A177EXELDLWTWV,Contains negative element,A2MCG5W6LHSRG9,Contains negative element,Yes,Contains negative element,2016-05-11 23:15:40 UTC
3W1K7D6QSAGA75Y25KDRKZ9EQBJZB2,Malfunctioning,n,A2MCG5W6LHSRG9,Contains negative element,A2QLSHXNCHBRN4,Contains negative element,Yes,Contains negative element,2016-05-11 23:06:03 UTC
3N5YJ55YXF2B76FRWI21U1IZYFRNAF,Unable,n,A177EXELDLWTWV,Contains negative element,A2QLSHXNCHBRN4,Contains negative element,Yes,Contains negative element,2016-05-11 23:15:25 UTC
3NOEP8XAU31N64ZXN777IYYSZF1PXH,Disease,p,A1FKZ2HY4XKMG1,Contains negative element,A2QLSHXNCHBRN4,Contains negative element,Yes,Contains negative element,2016-05-11 23:06:44 UTC
3ZVPAMTJWM2XWVKMBPBSZ7YCX7SRGI,Until,p,A2MCG5W6LHSRG9,Does not contain one,A2WGW5Y3ZFBDEC,Does not contain one,Yes,Does not contain one,2016-05-11 23:11:14 UTC
3D5G8J4N593TU7N949F9ZN2487DTVM,anti-platelet,n,A177EXELDLWTWV,Contains negative element,A2MCG5W6LHSRG9,Contains negative element,Yes,Contains negative element,2016-05-11 23:15:47 UTC
3U18MJKL1TLZ0LCPGWYS0W8NYICNCH,Antibiotic,p,A177EXELDLWTWV,Contains negative element,A2SWQM5X54P1O5,Contains negative element,Yes,Contains negative element,2016-05-11 23:15:53 UTC
3S4TINXCCZMY81KV3B2A412A67GOBP,unit,p,A177EXELDLWTWV,Does not contain one,A2QLSHXNCHBRN4,Does not contain one,Yes,Does not contain one,2016-05-11 23:15:45 UTC
3IZPORCT1E8BWRFXVVTAK7ADC76HR8,Underwent,p,A177EXELDLWTWV,Contains negative element,A2QLSHXNCHBRN4,Does not contain one,No,no_agreement,2016-05-11 23:15:30 UTC
